MatchNr;Omg;Hemmalag;Bortalag;Datum/Tid;Resultat
30101001;1;Säters IF FK;Dala-Järna IK;2026-04-24 19:00;
30126002;1;Säters IF FK U;Stora Skedvi IK FF;2026-04-26 11:00;
30201003;1;Säters IF FK;Smedjebackens FK;2026-04-28 19:00;
30101015;3;Säters IF FK;Smedjebackens FK;2026-05-08 19:00;
30126012;3;Säters IF FK U;IF Vulcanus;2026-05-10 11:00;
30201011;3;Säters IF FK;Bullermyrens IK;2026-05-12 19:00;
30101028;5;Säters IF FK;Nyhammars IF;2026-05-22 19:00;
30126022;5;Säters IF FK U;Krylbo IF U;2026-05-24 11:00;
30201021;5;Säters IF FK;Korsnäs IF FK;2026-05-26 19:00;
30101039;7;Säters IF FK;Ludvika FK;2026-06-05 19:00;
30126031;7;Säters IF FK U;Gustafs GoIF;2026-06-07 11:00;
30201037;8;Säters IF FK;Slätta SK;2026-06-09 19:00;
30101050;9;Säters IF FK;Slätta SK;2026-06-17 19:00;
30101061;11;Säters IF FK;Swesom FC;2026-06-30 19:00;
30126052;11;Säters IF FK U;Dalsom Förening;2026-08-01 11:00;
30101077;13;Säters IF FK;IF Tunabro;2026-08-04 19:00;
30201051;11;Säters IF FK;Kvarnsvedens IK U;2026-08-05 19:00;
30101088;15;Säters IF FK;Krylbo IF;2026-08-14 19:00;
30126062;13;Säters IF FK U;IFK Grängesberg FK;2026-08-15 11:00;
30201061;13;Säters IF FK;Vansbro AIK FK;2026-08-18 19:00;
30101099;17;Säters IF FK;Leksands IF Fotboll;2026-08-28 19:00;
30126071;15;Säters IF FK U;Ludvika FK U;2026-08-29 11:00;
30201073;15;Säters IF FK;Leksands IF Fotboll;2026-09-01 19:00;
30201077;16;Säters IF FK;Torsångs IF;2026-09-08 19:00;
30101110;19;Säters IF FK;Kvarnsvedens IK;2026-09-11 19:00;
30126081;17;Säters IF FK U;Ulfshyttans IF;2026-09-12 11:00;
30126086;18;Säters IF FK U;FK Romme Krona;2026-09-20 11:00;
30201089;18;Säters IF FK;Islingby IK;2026-09-22 19:00;
30101121;21;Säters IF FK;Korsnäs IF FK U;2026-09-25 19:00;
